Vehicle Full Code,Vehicle Code,OEM Model Name,SIAM Company Code,SIAM Segment 1,SIAM Segment 2,SIAM Fuel,Month,Year,Production Qty,Domestic Sale,Export Sale,Category,Category Name,YrMth
GMBTOBCTDI,BT,Beat,GENERAL MOTORS INDIA PVT LTD,B,Compact:,DIESEL,DEC,2014,635,733,0,PVPC,Passenger car PV,01-12-2014
GMBTOBCTLP,BT,Beat,GENERAL MOTORS INDIA PVT LTD,B,Compact:,LPG,DEC,2014,0,1,0,PVPC,Passenger car PV,01-12-2014
GMBTOBCTPT,BT,Beat,GENERAL MOTORS INDIA PVT LTD,B,Compact:,PETROL,DEC,2014,322,420,483,PVPC,Passenger car PV,01-12-2014
GMSUBBCTDI,SU,Sail UVa,GENERAL MOTORS INDIA PVT LTD,B+,Compact:,DIESEL,DEC,2014,24,133,0,PVPC,Passenger car PV,01-12-2014
GMSUBBCTPT,SU,Sail UVa,GENERAL MOTORS INDIA PVT LTD,B+,Compact:,PETROL,DEC,2014,116,206,0,PVPC,Passenger car PV,01-12-2014
HCAEOCCTDI,AE,Amaze,HONDA CARS INDIA LTD,C,Compact:,DIESEL,DEC,2014,2762,2122,0,PVPC,Passenger car PV,01-12-2014
HCAEOCCTPT,AE,Amaze,HONDA CARS INDIA LTD,C,Compact:,PETROL,DEC,2014,3601,3054,5,PVPC,Passenger car PV,01-12-2014
HCBIOBCTPT,BI,Brio,HONDA CARS INDIA LTD,B,Compact:,PETROL,DEC,2014,905,1120,255,PVPC,Passenger car PV,01-12-2014
HCJZBBCTPT,JZ,Jazz,HONDA CARS INDIA LTD,B+,Compact:,PETROL,DEC,2014,0,0,0,PVPC,Passenger car PV,01-12-2014
HYN2BBCTDI,N2,Elite i20,HYUNDAI MOTOR INDIA LTD,B+,Compact:,DIESEL,DEC,2014,4440,4314,0,PVPC,Passenger car PV,01-12-2014
HYN2BBCTPT,N2,Elite i20,HYUNDAI MOTOR INDIA LTD,B+,Compact:,PETROL,DEC,2014,5870,5031,753,PVPC,Passenger car PV,01-12-2014
HYGIBBCTDI,GI,Grand i10,HYUNDAI MOTOR INDIA LTD,B+,Compact:,DIESEL,DEC,2014,1181,1005,0,PVPC,Passenger car PV,01-12-2014
HYGIBBCTLP,GI,Grand i10,HYUNDAI MOTOR INDIA LTD,B+,Compact:,LPG,DEC,2014,100,45,0,PVPC,Passenger car PV,01-12-2014
GMSKOBMILP,SK,Spark,GENERAL MOTORS INDIA PVT LTD,B,Mini:,LPG,DEC,2014,0,0,0,PVPC,Passenger car PV,01-12-2014
VIPOBBCTDI,PO,Polo,VOLKSWAGEN INDIA PVT LTD,B+,Compact:,DIESEL,DEC,2014,1294,1394,0,PVPC,Passenger car PV,01-12-2014
VIPOBBCTPT,PO,Polo,VOLKSWAGEN INDIA PVT LTD,B+,Compact:,PETROL,DEC,2014,2894,1567,1390,PVPC,Passenger car PV,01-12-2014
HYATOCSCPT,AT,Accent,HYUNDAI MOTOR INDIA LTD,C,Super Compact,PETROL,DEC,2014,3282,0,4074,PVPC,Passenger car PV,01-12-2014
MMVTOCSCDI,VT,Verito,MAHINDRA & MAHINDRA LTD,C,Super Compact,DIESEL,DEC,2014,124,167,0,PVPC,Passenger car PV,01-12-2014
MMVTOCSCPT,VT,Verito,MAHINDRA & MAHINDRA LTD,C,Super Compact,PETROL,DEC,2014,0,0,0,PVPC,Passenger car PV,01-12-2014
TKESOCSCDI,ES,Etios Sedan,TOYOTA KIRLOSKAR MOTOR PVT LTD,C,Super Compact,DIESEL,DEC,2014,2152,2024,0,PVPC,Passenger car PV,01-12-2014
TKESOCSCPT,ES,Etios Sedan,TOYOTA KIRLOSKAR MOTOR PVT LTD,C,Super Compact,PETROL,DEC,2014,828,458,558,PVPC,Passenger car PV,01-12-2014
VIBEBBSCPT,BE,Beetle,VOLKSWAGEN INDIA PVT LTD,B+,Super Compact,PETROL,DEC,2014,0,0,0,PVPC,Passenger car PV,01-12-2014
